age,E1,N1,A1,C1,O1
23,3,4,3,2,3
14,1,5,3,3,4
21,3,4,3,5,4
43,2,4,1,4,5
20,1,5,2,1,2
19,2,5,3,2,3
29,5,5,1,3,4
23,3,3,1,5,5
13,1,1,1,1,5
17,4,4,2,3,3
21,4,1,4,2,3
35,3,3,2,4,4
29,3,5,4,3,4
13,3,1,2,4,3
13,2,1,1,5,2
13,2,1,2,4,3
13,3,4,1,4,4
13,4,3,3,4,2
13,4,5,5,5,4
13,5,4,3,2,3
13,4,1,2,5,3
13,4,2,1,4,3
13,1,4,2,1,4
13,3,4,1,1,1
14,5,2,2,3,4
13,2,3,1,4,3
13,5,2,3,4,1
13,3,3,5,4,1
14,1,1,1,1,1
13,3,1,5,5,5
13,5,1,3,4,4
13,5,1,1,5,3
14,3,2,3,3,3
13,5,2,5,5,5
13,1,4,2,3,1
13,5,1,1,1,3
14,4,5,1,2,5
25,4,4,4,4,5
13,5,2,3,4,3
13,5,1,1,5,5
24,5,5,1,5,5
42,2,2,2,3,4
33,5,1,1,5,5
20,3,4,1,4,3
41,3,1,1,4,3
26,4,4,2,3,4
17,5,3,5,1,4
38,4,2,2,3,4
17,2,1,3,2,3
35,1,2,1,5,4
21,2,2,3,4,2
21,4,4,2,2,1
27,3,3,5,2,3
17,1,5,3,4,4
28,4,4,1,2,5
14,3,3,2,4,5
17,3,4,2,4,4
17,4,2,2,4,1
17,3,2,4,3,3
16,3,2,5,3,2
16,4,3,3,4,2
16,2,4,5,4,4
17,3,2,2,4,4
15,1,5,1,5,4
16,3,4,2,4,3
16,3,2,3,3,3
1997,3,4,1,1,2
17,2,5,5,5,2
16,1,5,2,2,3
17,2,3,3,3,2
33,2,5,1,5,5
18,4,5,3,4,4
20,5,2,2,3,4
40,1,5,1,2,3
19,1,4,2,3,3
24,1,4,1,4,5
17,2,4,4,3,3
18,3,4,2,1,5
15,1,5,5,3,3
17,1,1,2,3,3
19,4,5,5,2,4
24,3,5,1,5,3
32,1,5,1,3,3
20,2,5,2,4,5
30,2,4,1,3,3
16,1,4,2,3,5
34,2,5,1,4,5
31,3,5,1,4,5
27,5,1,1,1,1
55,3,2,2,2,3
35,4,3,3,4,3
60,1,1,1,4,5
48,1,1,2,2,3
32,1,4,3,3,5
60,2,1,3,2,4
58,3,1,1,1,4
22,2,2,4,3,5
23,5,5,3,5,3
19,3,4,2,2,3
24,4,4,1,2,4
25,1,5,3,3,3
45,1,3,3,4,5
25,1,3,1,2,5
25,3,2,2,3,5
14,2,3,5,4,4
20,1,4,1,5,3
20,4,5,1,3,3
17,3,2,2,4,4
22,3,4,2,2,5
30,2,4,5,4,3
29,3,1,1,1,5
22,2,2,4,5,3
15,1,5,1,2,5
13,3,5,4,2,3
14,1,4,1,4,5
18,2,2,2,4,3
38,2,5,2,1,3
18,3,5,4,5,4
30,2,4,1,4,3
19,1,3,2,2,4
32,4,4,1,3,4
18,2,4,2,3,3
28,1,1,2,3,5
55,3,3,1,4,5
31,3,5,1,3,3
23,1,2,2,4,5
16,2,2,5,4,5
17,3,4,1,5,5
14,2,5,1,4,3
43,1,2,1,3,4
44,3,5,1,4,4
21,4,4,2,5,4
22,3,4,1,5,5
19,2,4,1,4,4
42,4,3,4,4,3
17,1,3,1,4,5
39,4,3,1,3,5
20,1,5,1,4,4
18,2,4,2,5,3
14,5,3,5,5,5
18,1,3,5,5,3
25,4,4,2,3,4
17,1,1,5,4,4
21,2,4,2,3,5
13,1,4,3,4,5
36,5,2,2,2,2
17,1,3,2,2,3
30,1,4,1,3,3
24,2,5,3,4,2
16,1,3,1,2,3
16,2,1,1,3,5
51,2,4,3,4,5
20,4,2,2,5,4
43,4,4,5,2,3
25,1,4,1,4,3
28,5,5,2,4,5
13,2,3,5,5,4
49,2,3,1,5,5
17,4,3,4,4,5
19,1,5,3,4,3
37,1,4,5,4,3
23,1,5,5,3,2
21,2,3,2,2,3
29,1,5,5,4,2
24,4,4,1,2,2
16,1,5,3,3,5
17,4,1,4,5,4
20,3,2,2,4,3
21,1,2,2,4,1
17,5,4,4,3,2
60,5,4,1,5,4
22,3,2,5,5,4
44,4,5,3,3,5
58,3,3,1,4,2
16,2,4,5,4,2
